id,company,title,location,source,url,posted_at,keywords,score,status,created_at,updated_at,notes
ab-3f94674f-6af8-4e10-9631-77b1b0a410bf,ramp,Account Executive | Canada,Remote (Canada),ashby,https://jobs.ashbyhq.com/ramp/job/3f94674f-6af8-4e10-9631-77b1b0a410bf,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-8c004352-f162-4d89-858f-75a649e77ec4,ramp,Account Executive | Commercial,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/8c004352-f162-4d89-858f-75a649e77ec4,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-870440f6-b6df-4b96-bfc8-1d27434921a6,ramp,Account Executive | Federal ,"Washington, D.C.",ashby,https://jobs.ashbyhq.com/ramp/job/870440f6-b6df-4b96-bfc8-1d27434921a6,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-8f3c27f0-50fb-47ba-a3dd-597428380843,ramp,Account Executive | Large Accounts,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/8f3c27f0-50fb-47ba-a3dd-597428380843,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-f7c4de3c-1d64-42e9-8111-f38e265327d8,ramp, Account Executive | Mid-Market,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/f7c4de3c-1d64-42e9-8111-f38e265327d8,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-a808d519-404a-4aee-9189-2b1ad62d0330,ramp,Account Executive | SLED,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/a808d519-404a-4aee-9189-2b1ad62d0330,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-d84bbf19-572a-499c-9c87-0c154ce85caf,ramp,Account Manager | Mid-Market,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/d84bbf19-572a-499c-9c87-0c154ce85caf,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-63df0ffc-bdc6-40ba-906f-fe03378536b0,ramp,AI Operations Specialist | Product Operations,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/63df0ffc-bdc6-40ba-906f-fe03378536b0,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-0d77cacc-1a11-4516-a639-60b315cea990,ramp,AI Product Engineer | All Levels,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/0d77cacc-1a11-4516-a639-60b315cea990,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-d204e136-2749-42de-82b4-88a0dd352090,ramp,Applied AI Engineer | All Levels,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/d204e136-2749-42de-82b4-88a0dd352090,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-74d9cf4c-ec0f-4c12-a1b6-3a70d6daf3c0,ramp,Associate Legal Counsel | Commercial,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/74d9cf4c-ec0f-4c12-a1b6-3a70d6daf3c0,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-2e47b59f-f68f-4266-80ff-eb92c8116f1a,ramp,Associate Manager | Customer Experience,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/2e47b59f-f68f-4266-80ff-eb92c8116f1a,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-a7b5b128-c024-433a-b5d7-4e7b7ed7a49d,ramp,Backend Engineer | Mid-level,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/a7b5b128-c024-433a-b5d7-4e7b7ed7a49d,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-1e077eec-dcae-4be5-a446-b3dd089777c6,ramp,Backend Engineer | Senior,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/1e077eec-dcae-4be5-a446-b3dd089777c6,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-7b9be1e2-2658-476b-a4b2-20e3dcf8450e,ramp,Channel Partner Manager | Accounting  ,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/7b9be1e2-2658-476b-a4b2-20e3dcf8450e,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-47f7781b-47db-4ee6-88ac-2fead6910560,ramp,Channel Partner Manager | Global Systems Integrator,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/47f7781b-47db-4ee6-88ac-2fead6910560,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-4745807e-82f4-4b1a-857c-dc8dadc73076,ramp,Credit Risk Associate,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/4745807e-82f4-4b1a-857c-dc8dadc73076,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-09a9381c-677b-40a5-9ff1-027bd4302c13,ramp,Customer Activation Manager | Enterprise,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/09a9381c-677b-40a5-9ff1-027bd4302c13,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-8086c65e-b4cc-4bdd-8f1f-5bdf03130ff4,ramp,Customer Activation Manager | Mid-Market,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/8086c65e-b4cc-4bdd-8f1f-5bdf03130ff4,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-ab6902bd-544e-4107-bf3b-b2157ee84aee,ramp,Customer Activation Manager | Public Sector,"Washington, D.C.",ashby,https://jobs.ashbyhq.com/ramp/job/ab6902bd-544e-4107-bf3b-b2157ee84aee,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-6ecd443e-c843-4473-951e-0addc4dec435,ramp,Customer Activation Manager | Strategic Enterprise,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/6ecd443e-c843-4473-951e-0addc4dec435,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-d64609dd-c391-45a2-bfdb-c1bb34e8f93c,ramp,Customer Experience Agent,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/d64609dd-c391-45a2-bfdb-c1bb34e8f93c,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-bca0346c-b843-4795-96df-6091f51e421b,ramp,Data Platform Engineer | All Levels,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/bca0346c-b843-4795-96df-6091f51e421b,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
ab-eac8da8c-3c11-494e-810f-22ccf96991d8,ramp,Director | Product Marketing,"New York, NY (HQ)",ashby,https://jobs.ashbyhq.com/ramp/job/eac8da8c-3c11-494e-810f-22ccf96991d8,,"intern,software",0,new,2025-09-11T16:14:09,2025-09-11T16:14:09,
